Approx. soln.,x,y
6.250010032143727,0.625,-0.75
7.500001335861256,0.75,-0.75
8.749998983830329,0.875,-0.75
-8.749989492073876,-0.875,-0.625
-7.499982907467942,-0.75,-0.625
-6.249983742423398,-0.625,-0.625
-4.999991827509182,-0.5,-0.625
-3.749991215333489,-0.375,-0.625
-2.4999557464562527,-0.25,-0.625
2.5001438736468273,0.25,-0.625
3.7500764348897806,0.375,-0.625
5.000034690192076,0.5,-0.625
6.25000612888453,0.625,-0.625
7.499994447370802,0.75,-0.625
8.749994446008508,0.875,-0.625
-8.749980615441777,-0.875,-0.5
-7.499967461993034,-0.75,-0.5
-6.249969545217746,-0.625,-0.5
-5.0000005538932495,-0.5,-0.5
5.000029878182744,0.5,-0.5
6.249985494750173,0.625,-0.5
7.499975819820016,0.75,-0.5
8.749984373668868,0.875,-0.5
-8.749965449220205,-0.875,-0.375
-7.499936021022894,-0.75,-0.375
-6.249925892867687,-0.625,-0.375
6.249931113934583,0.625,-0.375
7.499939260491364,0.75,-0.375
8.749967086948189,0.875,-0.375
-8.74994455907332,-0.875,-0.25
-7.499884862996751,-0.75,-0.25
-6.249843002150134,-0.625,-0.25
6.249838970321881,0.625,-0.25
7.499884107784186,0.75,-0.25
8.74994506248146,0.875,-0.25
-8.749928556802725,-0.875,-0.125
-7.499815207582666,-0.75,-0.125
7.4998152391605775,0.75,-0.125
8.749929101478099,0.875,-0.125
-8.749954360395831,-0.875,0.0
-7.499907019583702,-0.75,0.0
7.499908720251686,0.75,0.0
8.749955681966133,0.875,0.0
-8.749982912532944,-0.875,0.125
-7.499969836728677,-0.75,0.125
7.49997257245654,0.75,0.125
8.749984484622031,0.875,0.125
-8.750007926051389,-0.875,0.25
-7.50003659924629,-0.75,0.25
-6.250139798592816,-0.625,0.25
6.250146418272356,0.625,0.25
7.500040302644651,0.75,0.25
8.75000976165117,0.875,0.25
-8.75001236807615,-0.875,0.375
-7.500031856929559,-0.75,0.375
-6.2500574162297236,-0.625,0.375
6.250063860604246,0.625,0.375
7.500036149561061,0.75,0.375
8.750014571711363,0.875,0.375
-8.75001018429926,-0.875,0.5
-7.500021912320771,-0.75,0.5
-6.250033708289566,-0.625,0.5
-5.00004088553848,-0.5,0.5
5.000048934312558,0.5,0.5
6.250040156383317,0.625,0.5
7.500026155202573,0.75,0.5
8.750012223892378,0.875,0.5
-8.750006508179894,-0.875,0.625
-7.500012446244617,-0.75,0.625
-6.250015566047041,-0.625,0.625
-5.000010976915867,-0.5,0.625
-3.749989907898079,-0.375,0.625
-2.4999278076477798,-0.25,0.625
2.499943390882062,0.25,0.625
3.7500027832019662,0.375,0.625
5.000019256620642,0.5,0.625
6.25002112967639,0.625,0.625
7.500015915104796,0.75,0.625
8.750008176636022,0.875,0.625
-8.750003427150748,-0.875,0.75
-7.50000585771099,-0.75,0.75
-6.250005461275129,-0.625,0.75
-4.999999173215063,-0.5,0.75
-3.7499828506512793,-0.375,0.75
-2.4999538044040093,-0.25,0.75
-1.2499344209561098,-0.125,0.75
-9.011670057677523e-06,0.0,0.75
1.2499127028524983,0.125,0.75
2.4999578957792656,0.25,0.75
3.749989096993828,0.375,0.75
5.000004325503168,0.5,0.75
6.250009173810904,0.625,0.75
7.5000082356472495,0.75,0.75
8.750004582383243,0.875,0.75
-8.750001378303812,-0.875,0.875
-7.500002128051865,-0.75,0.875
-6.250001312833656,-0.625,0.875
-4.99999768993097,-0.5,0.875
-3.7499903379233768,-0.375,0.875
-2.499981004384969,-0.25,0.875
-1.2499801913766535,-0.125,0.875
-4.273749198742529e-06,0.0,0.875
1.2499725139661655,0.125,0.875
2.4999806078370366,0.25,0.875
3.7499923930184,0.375,0.875
4.999999931084191,0.5,0.875
6.250003091787538,0.625,0.875
7.500003310884341,0.75,0.875
8.750001961813155,0.875,0.875
6.666545915577444,0.6666666666666666,0.0
6.538519978646946,0.6538568536021536,0.13006021467741882
6.159359716017207,0.6159196883408578,0.25512228824339317
5.543177847328479,0.5543130748683635,0.37038015534640145
4.714094170311,0.4714045207910317,0.4714045207910317
3.703826076701946,0.3703801553464015,0.5543130748683635
2.5511749543595217,0.2551222882433932,0.6159196883408578
1.300394246725773,0.13006021467741888,0.6538568536021536
-9.958584769265144e-06,4.082155997157844e-17,0.6666666666666666
-1.3004184217687265,-0.1300602146774188,0.6538568536021536
-2.551152485650154,-0.2551222882433931,0.6159196883408578
-3.703814976125159,-0.3703801553464013,0.5543130748683636
-4.714085160201648,-0.4714045207910316,0.4714045207910317
-5.54316795048845,-0.5543130748683636,0.37038015534640145
-6.159349354961421,-0.6159196883408578,0.2551222882433932
-6.538516636894201,-0.6538568536021536,0.13006021467741907
-6.66654454266245,-0.6666666666666666,8.164311994315688e-17
-6.53817434471509,-0.6538568536021536,-0.1300602146774189
-6.159043669155887,-0.6159196883408579,-0.2551222882433931
-5.5430486007535364,-0.5543130748683636,-0.3703801553464013
-4.714045308704954,-0.4714045207910318,-0.4714045207910316
-3.7038068901531758,-0.37038015534640145,-0.5543130748683635
-2.5511751278245356,-0.25512228824339356,-0.6159196883408576
-1.3005867388255865,-0.1300602146774191,-0.6538568536021535
2.6174853701377288e-05,-1.224646799147353e-16,-0.6666666666666666
1.300653508389587,0.13006021467741885,-0.6538568536021536
2.5513796544400975,0.25512228824339334,-0.6159196883408578
3.703885465972917,0.37038015534640123,-0.5543130748683636
4.714074896735838,0.47140452079103157,-0.4714045207910318
5.543058136363857,0.5543130748683635,-0.37038015534640145
6.159041678096401,0.6159196883408576,-0.25512228824339356
6.538168312399648,0.6538568536021535,-0.13006021467741913
